Område,År,Uke,Nedbørsenergi,Nyttbart tilsig HBV (brukes før 2015 og til min/maks/gj.snitt),"Nyttbart tilsig (produksjonsdata og magasinstatistikk, brukes f.o.m. 2015)",Hydrologisk balanse,Magasinavvik,Mark-og grunnvann,Snø,"Avvik snø, mark og grunnvann"
NO,2020,25,-880,13709,11866,20944,2758,19472,27512,18186
NO,2013,21,3308,12309,11285,-6151,1321,20018,21047,-7472
NO,2018,19,1733,11117,11172,-9045,3231,20650,24521,-12276
NO,2011,23,5353,9756,10944,-7915,-935,20344,10903,-6980
NO,2014,21,1886,9734,10755,14119,1463,20683,40510,12656
NO,2004,19,2932,7762,10454,-9296,4415,20045,23691,-13711
NO,2020,24,156,10237,10375,25630,-3287,20356,41807,28917
NO,2016,22,63,10086,10226,-105,6585,18574,18126,-6690
NO,2017,23,4166,7309,10219,2678,1422,19250,20233,1256
NO,2020,23,1972,12291,10171,26844,-7633,20907,51797,34477
NO,2024,22,1812,9628,10071,-9333,7278,17438,9341,-16611
NO,2020,26,208,11957,9880,17144,7426,17632,17191,9718
NO,2024,20,-488,10060,9760,-8536,1239,19062,24525,-9775
NO,2008,23,-1647,12885,9514,9998,9353,19264,19608,646
NO,2024,21,411,9187,9446,-10110,4042,19360,15025,-14152
NO,2015,27,-344,8479,9433,17307,-8546,18038,29840,25853
NO,2013,22,825,9739,9430,-7682,3955,19581,12172,-11637
NO,2010,20,1879,9137,9391,-20409,-4903,19508,18347,-15506
NO,2005,24,3373,8805,9387,19843,-4305,19535,37860,24148
NO,2005,25,1138,10124,9312,18523,-619,18355,29586,19143
NO,2003,23,1044,8202,9102,-17011,-9908,18418,12706,-7103
NO,2019,21,3230,7541,9097,-13655,5675,18098,11109,-19331
NO,2017,20,4904,7300,8803,-733,-2939,19332,36235,2206
NO,2007,23,-1775,11067,8694,17160,6464,19233,29690,10695
NO,2000,20,1620,10128,8671,30414,15944,19131,48700,14470
NO,2007,27,3122,6979,8605,14019,10339,16645,9060,3680
NO,2014,23,211,9002,8506,8417,4368,18918,23358,4049
NO,2019,23,2695,5315,8497,-6744,5308,18246,7929,-12052
NO,2015,28,4018,9246,8448,18348,-4367,17781,24421,22715
NO,2014,22,14,9286,8372,11073,2975,19344,32145,8098
NO,2013,20,4197,7554,8263,-6045,-3340,20322,30334,-2705
NO,2002,21,1179,6776,8155,14851,11808,19339,32241,3043
NO,2007,22,2164,6940,8026,23573,4688,20071,42203,18884
NO,2018,20,-899,10046,8025,-13566,6005,18443,15347,-19571
NO,2017,21,571,7234,8004,-1591,-1626,18212,30360,35
NO,2016,21,1611,7541,7919,1862,3237,19310,27852,-1375
NO,2023,21,2524,9370,7864,25,-2543,19463,31643,2568
NO,2012,27,1714,7331,7860,14371,4951,17892,13553,9420
NO,2014,24,587,7825,7853,7446,6017,17080,17595,1429
NO,2021,22,-1695,8940,7851,-12578,4199,17750,8863,-16777
NO,2017,24,1100,7368,7802,2751,3052,17576,15369,-301
NO,2002,22,2216,7724,7787,15189,12854,19041,26685,2336
NO,2005,27,107,9265,7758,12208,3042,16620,14571,9166
NO,2022,26,2510,8103,7699,-5077,-5645,16274,9399,567
NO,2022,21,2128,7014,7649,-3422,-10066,18342,36839,6644
NO,2023,24,-1285,8983,7648,-7730,-2131,17844,9804,-5598
NO,2002,23,-1595,8618,7550,10402,13479,17907,17243,-3077
NO,2003,22,1841,6947,7448,-17118,-12395,18418,20249,-4723
NO,2023,25,432,7056,7325,-8612,-705,15798,5094,-7907
NO,2008,19,622,8092,7245,22825,9627,19768,50877,13198
NO,2012,25,2047,7105,7183,15484,459,18906,24918,15025
NO,2012,26,697,6898,7178,14368,2145,18084,19244,12223
NO,2022,23,257,7097,7139,-4767,-9521,18444,24537,4754
NO,2021,23,231,5860,7124,-13075,4288,15892,4972,-17363
NO,2011,26,4448,6236,7123,-3242,1477,16940,3446,-4719
NO,2022,22,1711,6418,7095,-3023,-9805,18858,31313,6781
NO,2012,21,-506,7692,7089,18181,2584,19899,44235,15597
NO,2012,28,4618,8294,7084,15637,7590,18241,9293,8047
NO,2022,24,1443,6568,7083,-4329,-8615,17300,20233,4286
NO,2000,18,1205,7636,7029,35311,11126,18242,66595,24185
NO,2000,26,3340,7846,6976,29246,12554,19929,21868,16692
NO,2000,25,3348,8268,6943,28911,11092,19424,27194,17819
NO,2011,24,1918,7212,6891,-7397,83,18119,7648,-7480
NO,2022,25,-107,5729,6832,-5175,-7833,16177,15279,2658
NO,2008,22,-522,7374,6824,17526,6910,20636,33370,10616
NO,2002,24,2151,8243,6820,9698,14177,16906,11861,-4479
NO,2023,20,394,7521,6785,1054,-4018,19787,38646,5072
NO,2005,21,3394,5832,6686,17704,-4913,18204,52951,22618
NO,2002,20,866,6542,6678,14355,10199,18122,39395,4156
NO,2021,21,321,6012,6671,-7624,3306,19152,18456,-10930
NO,2017,22,855,6224,6626,-2330,-1861,17008,25913,-469
NO,2014,28,898,5853,6598,3621,4561,13886,4661,-940
NO,2015,26,270,6958,6569,18918,-13078,17970,39132,31997
NO,2018,22,-1670,5338,6556,-18985,5668,14008,4729,-24653
NO,2021,20,1527,6688,6553,-6330,3461,18538,25032,-9791
NO,2023,23,-585,7194,6547,-3451,-3507,19233,19050,56
NO,2000,19,241,7839,6415,32348,12962,18632,58201,19386
NO,2008,18,4194,6256,6415,24525,6637,17684,60856,17888
NO,2024,19,662,7104,6325,-5749,-3178,19387,35488,-2572
NO,2012,24,1879,6292,6273,15020,-927,18565,30629,15948
NO,2011,22,2831,5244,6206,-12363,-5035,18516,17547,-7327
NO,2021,24,4070,4655,6185,-8775,4284,16366,3821,-13059
NO,2019,24,1648,5122,6180,-4950,5659,16875,5763,-10609
NO,2003,24,614,6020,6176,-17113,-9331,16696,8768,-7783
NO,2003,21,2884,5711,6157,-18259,-13815,18467,25627,-4444
NO,2006,19,163,9172,6155,-15628,1542,17929,22348,-17170
NO,2020,22,667,7162,6140,29341,-10879,19275,64334,40220
NO,2008,24,2108,7190,6113,9408,9208,16797,16649,200
NO,2016,26,2651,4586,6089,28,4324,15227,5583,-4296
NO,2000,24,5083,7968,6078,28834,10158,17949,33973,18676
NO,2001,25,723,5805,6046,-9451,-3817,17136,6029,-5633
NO,2018,37,7652,5340,6024,-7375,-9001,15385,460,1627
NO,2018,21,-1091,6634,6012,-17130,5612,16658,9137,-22742
NO,2013,23,2660,6853,6003,-7992,2955,17579,9700,-10947
NO,2017,25,2412,5383,5998,4021,3030,16854,12935,990
NO,2015,29,1979,6072,5980,18152,-2048,17565,20283,20200
NO,2008,20,1409,7156,5978,21220,10103,18129,46349,11117
NO,2005,26,-164,6860,5971,15646,131,17426,23195,15515
NO,2007,28,4654,6883,5967,15685,11788,16693,6691,3897
NO,2015,24,1239,5808,5962,21941,-13310,18359,50139,35252
NO,2023,22,1111,5488,5945,-44,-3095,19046,27395,3052
NO,2009,22,3942,6703,5920,-2300,-608,18960,22738,-1692
NO,2000,21,2008,6533,5888,29415,14988,19198,43766,14428
NO,2012,22,348,6541,5877,15819,1619,17058,40532,14200
NO,2018,38,7054,5153,5867,-2884,-5933,17001,649,3049
NO,2001,26,-80,5166,5840,-9852,-2739,15501,2491,-7114
NO,2009,18,1501,6942,5837,-3062,2468,18953,36168,-5531
NO,2006,24,-1125,6585,5835,-18659,-5462,15130,4919,-13197
NO,2020,27,4120,7428,5829,17816,8599,17228,14014,9217
NO,2023,38,8844,5313,5815,4929,1861,17489,180,3068
NO,2007,26,794,6628,5807,11104,6518,16285,13406,4586
NO,2025,25,1688,5334,5803,-321,1175,15334,11970,-1495
NO,2001,22,1713,5697,5802,-10141,-1590,18065,16773,-8551
NO,2013,26,3014,5674,5787,-3471,2387,16731,2516,-5858
NO,2016,25,1564,4279,5783,-2421,3600,15209,7567,-6022
NO,2020,31,3729,5960,5761,17404,12501,15861,4537,4904
NO,2011,19,976,6175,5724,-19443,-3407,18023,23388,-16036
NO,2023,26,2366,5211,5722,-7230,-324,15594,2606,-6906
NO,2008,25,2230,5055,5716,10532,8897,17099,13334,1635
NO,2018,41,4224,4477,5712,113,-1347,16538,1057,1461
NO,2022,45,7059,5273,5703,1455,945,18935,1572,510
NO,2019,18,1161,6407,5697,-18249,6214,17114,19074,-24464
NO,2007,25,1325,6210,5687,12892,5968,17549,18174,6924
NO,2024,23,5191,5463,5672,-5938,6051,17649,8589,-11989
NO,2000,27,1727,8131,5665,26402,13308,17951,17168,13094
NO,2002,28,5015,5808,5657,13922,12927,16881,3601,995
NO,2019,17,882,7144,5625,-17962,3279,19111,22601,-21241
NO,2016,23,-424,6342,5591,-3598,4969,15950,13710,-8567
NO,2007,24,132,7806,5589,13627,5993,16737,24142,7633
NO,2015,23,5089,5776,5520,22070,-13037,19141,54193,35107
NO,2008,27,-317,5181,5492,8721,8572,15570,6605,150
NO,2003,26,2056,5281,5490,-14999,-8745,15635,3216,-6254
NO,2010,23,2505,5265,5479,-20480,-7221,18068,6900,-13259
NO,2014,44,8424,6620,5475,2316,2608,16844,1596,-291
NO,2005,23,1129,5234,5463,17359,-7637,18180,45043,24996
NO,2006,25,2843,4975,5445,-16411,-5482,15127,2742,-10929
NO,2001,27,702,4026,5420,-8647,-1604,13926,1056,-7043
NO,2025,26,2848,5059,5420,1575,1388,15593,9699,187
NO,2022,40,7800,4457,5414,-4959,-7282,16953,857,2323
NO,2024,43,6028,5705,5414,4072,3229,17345,1305,843
NO,2010,40,7489,5228,5402,-8140,-8916,16079,183,776
NO,2015,35,4824,4723,5400,14426,9437,15086,4012,4990
NO,2023,32,9223,6943,5383,2278,661,16196,312,1616
NO,2001,20,1314,7412,5382,-10715,0,18425,24221,-10715
NO,2004,20,419,6534,5356,-11224,4837,17268,20032,-16061
NO,2015,30,1630,5561,5294,17354,34,16502,17206,17319
NO,2011,27,1808,4610,5284,-2369,1784,15935,1937,-4153
NO,2005,22,1208,4576,5269,17954,-6252,18399,49197,24206
NO,2007,21,2381,6003,5262,22327,3485,18469,48911,18842
NO,2015,32,2332,5044,5253,16421,3839,16355,11118,12581
NO,2003,25,1193,4408,5231,-16029,-9338,16052,6055,-6691
NO,2014,25,762,4938,5209,6811,5328,15489,14792,1483
NO,2025,32,5457,5255,5200,-1305,-1084,13736,936,-220
NO,2021,19,2485,4870,5194,-5802,2584,18728,30333,-8386
NO,2024,25,1150,4989,5181,-4307,3598,16014,4879,-7905
NO,2023,28,3462,3853,5170,-3496,-360,15387,965,-3136
NO,2002,25,1772,5417,5169,9749,13574,16139,8835,-3825
NO,2005,44,5648,5024,5168,6562,7562,17387,344,-999
NO,2013,24,1300,4721,5167,-7389,2141,17057,6659,-9530
NO,2021,43,5699,4687,5158,-7734,-9070,17003,2139,1335
NO,2013,25,2891,4710,5150,-5171,1779,17750,4098,-6951
NO,2009,27,-1305,5420,5146,-9432,-4642,12936,4300,-4789
NO,2001,23,2252,4917,5140,-9253,-2964,18160,13778,-6289
NO,2019,25,1672,4081,5139,-3290,5282,16052,4174,-8572
NO,2020,29,1103,4602,5112,16954,9401,16503,8698,7553
NO,2015,25,573,4712,5094,21205,-14123,18052,46074,35328
NO,2009,21,1050,5326,5092,-4085,-332,18435,26349,-3753
NO,2011,21,4552,5262,5043,-14817,-4992,18064,20648,-9825
NO,2011,25,1311,4771,5043,-6923,-331,16537,5669,-6592
NO,2009,26,-1529,5244,5006,-6688,-5459,15359,8518,-1229
NO,2010,21,855,5350,5001,-21106,-5685,17404,15712,-15421
NO,2000,22,4059,6160,4998,30281,13105,19120,41446,17175
NO,2014,43,6662,4367,4970,-1111,-249,16089,856,-862
NO,2018,39,7154,5835,4938,-1095,-3878,16313,1530,2783
NO,2010,22,-52,4933,4933,-22019,-6550,17102,10819,-15468
NO,2012,30,1613,4481,4905,13905,9388,15562,5345,4518
NO,2007,29,2489,5380,4902,15718,12836,15738,4793,2883
NO,2001,28,4469,4074,4890,-4129,-470,15258,570,-3659
NO,2005,29,2909,6084,4889,9079,4977,15585,6165,4102
NO,2016,24,350,4297,4864,-3964,3710,15504,10068,-7674
NO,2025,23,2480,4908,4846,-102,3446,17171,17507,-3548
NO,2002,19,-107,5235,4845,14917,8853,19005,44506,6064
NO,2011,29,4889,3835,4841,1343,2154,15984,852,-812
NO,2016,39,7015,3706,4795,4667,4347,14508,871,320
NO,2005,28,857,6992,4783,9002,3588,15112,9788,5414
NO,2015,33,568,4421,4776,14838,5681,15203,8406,9157
NO,2001,21,966,4293,4757,-10654,-1207,17808,21282,-9447
NO,2006,21,3525,5295,4747,-12361,-836,17900,19113,-11524
NO,2007,18,-193,5422,4739,20083,7284,18194,55257,12799
NO,2017,31,3984,3945,4733,4381,2396,15095,2384,1985
NO,2008,43,8454,4076,4685,6252,3503,15826,4730,2749
NO,2015,31,1373,4636,4683,16730,1916,16105,14203,14814
NO,2003,39,8285,4969,4676,-5432,-6933,15945,615,1501
NO,2017,40,7189,4959,4676,3799,3380,15066,839,419
NO,2007,17,1854,4398,4650,21847,5494,17620,61685,16353
NO,2000,28,2074,5438,4635,25630,13508,17680,13929,12122
NO,2003,27,732,4256,4634,-14965,-8482,14026,1516,-6483
NO,2013,19,2258,4783,4631,-9364,-6286,17674,36695,-3079
NO,2009,30,4765,4172,4630,-1520,-1137,14586,1420,-382
NO,2009,28,2953,3654,4629,-6714,-3914,13727,2961,-2799
NO,2025,22,3233,4747,4627,-930,5478,17431,19551,-6408
NO,2016,20,1691,3511,4623,2326,2244,18118,35325,81
NO,2022,27,2585,5289,4620,-4816,-5647,15225,7630,831
NO,2016,19,83,6627,4617,1410,3399,17480,37978,-1988
NO,2008,26,2105,4678,4602,10635,8049,16711,10981,2586
NO,2024,24,2659,4335,4597,-4531,4441,17543,6731,-8972
NO,2024,34,6330,4742,4575,3192,1249,15950,219,1942
NO,2004,27,2067,4223,4572,-9048,-6458,15690,3745,-2590
NO,2004,24,1853,4588,4569,-13518,-5018,15790,8956,-8500
NO,2025,27,2875,4785,4564,2676,963,15834,7904,1713
NO,2023,19,1069,4770,4555,2988,-5524,18535,47424,8512
NO,2001,41,6377,4569,4550,5322,4152,16731,573,1171
NO,2023,29,3274,3991,4550,-1745,83,15071,749,-1828
NO,2015,38,5553,4386,4538,13458,10398,15619,2043,3060
NO,2009,36,4975,4420,4528,6825,5077,15496,352,1747
NO,2025,36,5339,4078,4478,-2417,-2194,13430,448,-223
NO,2009,31,3182,3651,4469,1050,705,14802,1038,345
NO,2021,25,1079,4162,4460,-8928,2669,14801,2400,-11598
NO,2017,26,345,4591,4457,2464,2122,15229,10218,342
NO,2000,23,-113,5020,4425,27375,10395,18860,36346,16979
NO,2018,24,3168,2969,4425,-16407,1035,13002,2803,-17442
NO,2001,40,6540,3678,4424,2082,2008,15056,504,74
NO,2024,44,8199,5193,4416,7745,4980,17232,4263,2765
NO,2002,26,2670,4607,4410,10522,12677,15934,7017,-2154
NO,2024,26,37,4192,4404,-5303,2746,14207,2849,-8049
NO,2007,33,5040,3992,4393,15507,14070,14695,1193,1437
NO,2020,30,1688,4346,4390,16169,10047,15621,6890,6122
NO,2011,20,2996,4514,4388,-17593,-3913,17610,22071,-13680
NO,2006,18,688,4009,4375,-11819,-929,17798,31964,-10890
NO,2006,23,-647,4645,4362,-15770,-5494,17442,10509,-10276
NO,2009,39,4646,3686,4358,6700,6824,14647,290,-124
NO,2010,28,3788,3247,4353,-14941,-10647,14521,672,-4294
NO,2024,18,323,4357,4339,-3550,-4846,18953,42995,1296
NO,2008,28,2249,5023,4314,8305,8347,15093,4353,-42
NO,2016,32,4335,3475,4290,5401,4170,14923,1200,1231
NO,2012,23,483,3969,4288,14656,-1041,17823,36101,15697
NO,2008,29,2634,3933,4279,9375,8788,14961,3273,586
NO,2011,37,4468,4599,4279,5541,3470,16166,122,2071
NO,2005,45,6503,4987,4264,8837,9796,17565,1472,-959
NO,2017,28,2927,4099,4263,2770,532,14917,6809,2238
NO,2022,20,762,4739,4257,-4440,-11489,18056,42354,7049
NO,2009,23,-149,5431,4255,-5237,-2876,16751,19115,-2361
NO,2025,41,4434,4147,4244,-775,-567,15346,580,-208
NO,2014,27,769,4271,4242,3662,2376,14523,8789,1287
NO,2021,27,3094,3359,4232,-8683,-720,13465,597,-7963
NO,2018,33,3912,3938,4227,-10832,-11099,14503,215,267
NO,2011,36,6002,4530,4219,4296,2149,16111,137,2146
NO,2004,39,5318,4584,4217,-1382,-2589,15987,280,1207
NO2,2017,20,2450,3139,4205,-2953,454,5536,4912,-3407
NO,2022,44,5207,3837,4202,-2482,-2727,17647,1328,245
NO,2009,25,2121,4343,4186,-3796,-5761,16991,13773,1965
NO,2009,29,1121,2899,4182,-5347,-2891,13227,1965,-2456
NO,2019,37,4025,3037,4180,2923,1457,15240,444,1466
NO,2004,18,1559,4935,4165,-13960,-2229,17267,31655,-11730
NO,2010,24,1464,4503,4155,-19739,-8292,16536,5264,-11447
NO,2016,30,3661,3386,4151,2027,2948,13816,1653,-920
NO,2004,25,3118,4438,4140,-11794,-6259,15681,7583,-5535
NO,2011,17,120,5615,4132,-18424,-5335,17698,32165,-13089
NO,2000,17,1845,4303,4131,36112,7428,16962,74675,28685
NO,2024,37,5735,5219,4126,4916,3475,15489,169,1441
NO,2004,17,1972,4790,4124,-14417,-3982,16604,35913,-10435
NO,2009,19,2736,4921,4121,-2207,2578,17730,34932,-4785
NO,2011,16,816,5394,4107,-16807,-8096,18135,37499,-8711
NO,2024,35,1977,4796,4099,3132,2739,14314,188,394
NO,2004,26,2233,3785,4097,-10319,-6840,16011,5615,-3479
NO,2020,28,3295,5639,4095,17488,8251,16745,11980,9238
NO,2025,18,3155,4354,4085,1713,14390,16463,31512,-12677
NO,2000,29,-464,5235,4076,22071,13828,16000,9892,8243
NO,2023,27,1995,4017,4074,-6754,-1093,14683,1681,-5661
NO,2014,20,1147,3728,4058,13634,-2523,17816,51702,16157
NO,2022,19,3341,4068,4056,-3149,-10324,16879,47743,7175
NO,2020,47,10357,5181,4053,15853,15302,17382,6049,551
NO,2021,40,5177,4285,4038,-13237,-13309,15366,193,73
NO,2004,38,5949,3646,4029,-3431,-4456,15275,352,1025
NO,2020,45,5308,4473,4026,11677,12102,17239,2333,-424
NO,2005,37,5782,4246,4020,9033,6781,15203,1267,2252
NO,2023,39,3469,4353,4018,4810,2889,16820,160,1921
NO,2024,28,2800,3687,4014,-2227,608,15213,1438,-2835
NO,2002,17,1948,4143,3998,12855,6786,17137,51885,6069
NO,2002,18,4686,4413,3988,16376,7934,17451,51643,8442
NO,2019,22,3104,3219,3988,-11032,3419,17533,11406,-14451
NO,2010,29,3176,3950,3968,-12761,-9903,14337,453,-2858
NO,2012,29,1108,4761,3962,14098,7960,16245,7541,6138
NO,2025,38,3292,4137,3952,409,-395,14901,505,804
NO,2000,30,374,4786,3949,19528,14309,14900,6708,5219
NO,2015,20,2708,3903,3948,18200,-5240,16906,59895,23440
NO,2011,30,2372,4684,3937,1325,2602,14572,541,-1277
NO,2018,23,-557,2793,3929,-20078,2642,11917,3590,-22720
NO,2016,28,1860,3166,3921,446,2653,13894,3386,-2207
NO,2010,26,1163,3583,3917,-18750,-10247,14595,2008,-8503
NO,2012,37,4230,3372,3915,12428,10308,15317,1021,2120
NO,2001,24,638,4002,3906,-9539,-4705,17489,10924,-4834
NO,2013,27,655,3624,3898,-3864,1654,14958,1548,-5518
NO,2012,36,3286,3309,3894,10894,9529,14390,1076,1365
NO,2014,29,1658,4596,3885,2991,4686,13203,2750,-1695
NO,2001,44,7967,4264,3883,8069,5882,17141,3777,2187
NO,2019,26,696,3086,3875,-3048,4128,14538,3392,-7176
NO2,2018,19,288,3297,3871,-1860,2754,5186,5413,-4614
NO,2009,37,2925,3563,3863,7127,5952,15074,318,1175
NO,2015,22,2601,3904,3858,19251,-11623,18100,56163,30873
NO,2019,20,154,3450,3858,-16564,3009,17933,15856,-19573
NO,2001,19,-82,4788,3840,-8741,-451,18531,30626,-8290
NO,2017,30,2038,3817,3835,1630,758,13948,3312,872
NO,2007,30,1489,3813,3831,15167,13162,15028,3365,2004
NO,2015,34,-531,4466,3830,11224,6649,13190,5612,4575
NO,2013,32,4015,3567,3824,-2314,-869,13324,123,-1445
NO,2006,20,2612,3664,3814,-13873,454,18042,20991,-14328
NO,2017,37,3720,3301,3811,3793,2770,14509,732,1023
NO,2025,20,-576,3955,3811,-2688,10644,16241,23788,-13332
NO,2013,43,6521,3498,3810,-6367,-4848,15231,1057,-1519
NO2,2016,22,422,3380,3804,1571,3512,5168,3629,-1941
NO,2025,24,-301,3672,3796,-1160,1185,16223,14678,-2345
NO,2004,21,3680,4301,3795,-9386,2724,16640,19788,-12109
NO,2024,15,4332,3899,3793,254,-4002,15698,53423,4256
NO,2007,20,3634,3299,3791,22787,4865,18358,52925,17922
NO,2017,33,3280,3109,3789,5258,3179,15121,1410,2080
NO,2021,39,5229,2812,3783,-14884,-14357,14355,178,-527
NO,2006,22,318,3722,3764,-13256,-3317,17562,15889,-9939
NO,2008,30,-103,3411,3760,7814,9078,13277,1848,-1264
NO,2010,25,871,3852,3757,-19436,-9456,15294,3525,-9980
NO,2011,44,3041,3603,3751,6039,5690,17094,1986,349
NO,2019,34,3227,3527,3747,-1724,-839,13068,274,-884
NO,2020,37,4773,3379,3746,11359,10742,13892,943,617
NO,2022,41,4311,3803,3734,-3989,-6010,16702,1452,2021
NO,2015,36,3786,4194,3733,14898,10290,15431,3278,4608
NO,2024,32,4728,3375,3728,-1255,-795,14119,312,-460
NO,2003,30,3381,3264,3727,-11607,-8130,12652,260,-3477
NO,2011,28,733,3468,3716,-2990,1052,14141,1305,-4042
NO,2002,27,2486,4226,3710,10799,11627,15841,5357,-827
NO,2011,40,6363,4232,3707,7569,5360,16366,1329,2209
NO,2025,16,2067,4150,3698,-248,13944,16814,33339,-14192
NO,2009,34,3898,3692,3697,3087,2255,14587,471,832
NO,2009,24,1429,3951,3668,-4864,-4785,17051,16117,-78
NO,2017,32,1806,3321,3668,3859,2571,14390,1789,1288
NO,2025,45,3904,3742,3667,-2263,234,16321,1179,-2497
NO,2018,32,5910,3092,3649,-12778,-12270,14155,229,-508
NO,2019,33,4702,3120,3647,-3030,-1892,12999,315,-1138
NO,2023,41,6014,3602,3640,7788,4075,16988,2859,3713
NO,2023,33,2828,3992,3634,2234,818,15614,253,1416
NO,2017,27,1488,3907,3617,1662,728,14585,8375,935
NO,2006,48,6422,4763,3612,-233,-7826,16349,15984,7593
NO,2020,32,2040,4635,3612,15659,12500,15018,3033,3159
NO,2006,28,3561,3084,3598,-15623,-9334,12676,521,-6290
NO,2025,29,-198,4007,3582,-3415,-849,12095,2987,-2566
NO,2004,23,-853,4845,3577,-14564,-3982,15877,11768,-10582
NO,2025,37,5277,3918,3576,-338,-1678,15189,368,1340
NO,2018,42,3526,4671,3573,-796,-149,15613,725,-648
NO,2007,31,1599,3349,3555,14692,13378,14164,2644,1314
NO,2017,29,565,3544,3552,1460,288,13652,5168,1172
NO,2000,33,3574,3801,3544,17623,13900,15038,3136,3723
NO,2022,28,1038,3631,3529,-5552,-6349,14199,6085,797
NO,2025,10,10761,3716,3516,2704,11595,16200,34423,-8890
NO,2007,44,7285,3731,3513,8714,9364,15196,2885,-650
NO,2001,33,2387,3170,3512,2421,1941,14680,252,480
NO,2007,19,1610,3748,3511,20047,6390,16976,54129,13657
NO,2009,35,2672,3039,3498,4343,3368,14692,392,976
NO,2019,27,2432,3037,3491,-1628,3066,14293,3038,-4694
NO,2008,21,1134,3219,3487,20564,6868,17842,44391,13695
NO,2011,39,2301,3450,3481,5080,4515,15539,86,565
NO2,2020,25,75,4619,3477,10217,3244,5547,7977,6972
NO2,2020,24,-2,3377,3476,11873,1314,5470,12862,10559
NO,2018,25,2811,3125,3469,-14195,-853,12968,2487,-13343
NO,2025,51,5256,4098,3461,-2337,3305,15747,9881,-5642
NO,2016,27,666,3064,3459,-569,3020,13856,4581,-3589
NO,2004,41,5101,3909,3458,-672,-1118,16041,539,447
NO,2015,21,2680,3529,3457,18599,-8638,17524,58250,27237
NO,2020,39,5676,3617,3457,11801,11205,15171,486,597
NO,2003,20,3475,3877,3447,-20149,-13960,16428,30745,-6189
NO,2016,35,2748,3228,3446,4756,4455,13826,583,301
NO2,2017,23,2227,2102,3444,-884,2380,4855,1081,-3264
NO,2008,41,4991,2524,3438,1256,893,14978,1519,364
NO,2004,28,928,3479,3433,-9238,-6706,14362,2593,-2532
NO2,2024,22,952,3120,3424,1261,4579,4684,2736,-3319
NO,2013,29,1552,2719,3422,-4313,275,12520,539,-4589
NO,2021,44,4131,3737,3415,-7579,-8247,16412,2987,668
NO,2010,27,161,2911,3410,-18935,-11091,13079,1102,-7844
NO,2011,48,9411,3998,3390,10832,8275,15936,11362,2557
NO,2012,31,2161,4019,3385,13281,9603,15414,3758,3678
NO,2024,30,3011,3725,3385,-1718,-125,14207,589,-1593
NO,2001,29,2773,3247,3384,-2060,-81,15235,434,-1979
NO,2022,29,326,3422,3383,-7148,-6873,13034,4338,-275
NO,2022,31,3360,3354,3379,-6074,-6614,13413,2621,540
NO,2011,38,3805,3570,3361,5828,3890,16327,212,1938
NO,2016,31,2486,3040,3359,2917,3215,13873,1324,-298
NO,2018,17,2333,5044,3353,-10083,-4311,16250,40930,-5773
NO,2013,38,4889,3110,3341,-3638,-2616,13369,211,-1021
NO,2023,34,3848,4031,3337,2628,715,15922,218,1913
NO,2022,30,1612,3329,3332,-7482,-6960,12589,3278,-522
NO2,2020,23,980,3955,3331,12253,-452,5574,16332,12706
NO,2019,35,1988,2931,3330,-956,48,12883,222,-1004
NO,2001,31,3465,2790,3328,416,1017,14595,298,-601
NO,2016,29,145,2954,3325,-635,2206,12472,2336,-2841
NO,2025,21,2148,3356,3322,-2620,7439,16760,21718,-10059
NO,2019,38,4945,4795,3320,2855,1786,14730,940,1069
NO,2005,35,3159,3556,3316,6549,5472,14212,972,1076
NO,2004,36,3084,3080,3309,-6565,-5995,13338,194,-569
NO,2020,41,4745,3336,3305,11395,11323,15930,275,71
NO2,2024,21,528,3184,3301,721,3559,5289,4191,-2838
NO,2021,41,5356,3778,3295,-11801,-12699,15716,1316,898
NO,2009,32,313,3117,3287,-306,915,12979,691,-1221
NO,2018,16,1162,5094,3274,-9803,-5655,17010,43187,-4148
NO,2017,36,2879,2349,3269,2664,2095,13846,824,569
NO,2018,18,1440,3383,3267,-9451,-3892,17521,37573,-5559
NO,2025,28,-1273,3455,3252,-936,-403,13575,5379,-533
NO,2003,28,1170,2883,3249,-14226,-8891,13293,860,-5334
NO,2020,38,3066,3732,3245,10553,10932,13327,896,-379
NO,2005,18,1717,3007,3244,13427,-285,15496,58867,13711
NO,2004,30,1774,2861,3237,-7803,-6053,13445,1194,-1750
NO,2009,20,446,3651,3237,-3315,739,17673,31633,-4054
NO,2010,34,3224,2635,3234,-10017,-9327,13331,205,-690
NO,2000,32,3389,3892,3231,16829,13502,14226,3992,3327
NO,2024,29,1179,3257,3229,-2607,-24,14236,830,-2583
NO,2005,34,3839,2917,3220,5590,4440,14184,1192,1150
NO,2018,34,2653,3510,3210,-11064,-10867,13773,256,-197
NO,2014,41,5088,2771,3208,-3740,-2256,14226,424,-1484
NO2,2024,20,-243,3010,3206,971,2651,5123,7052,-1681
NO,2015,49,9920,2069,3192,13577,9125,14830,16429,4452
NO,2005,30,981,4447,3189,7095,5064,14301,4119,2031
NO,2003,38,4429,3175,3188,-9949,-8999,13285,367,-949
NO,2007,32,95,2937,3186,12569,12965,12881,1615,-396
NO,2019,36,4617,3240,3177,737,293,14212,334,445
NO,2012,40,4230,3274,3175,9444,8870,15647,413,574
NO5,2020,25,-110,3281,3175,5163,412,4143,7616,4751
NO,2006,35,3678,3092,3168,-17810,-15996,12149,145,-1814
